World_Cup,46,India,V Kohli,MS Dhoni,2019
World_Cup,47,Australia,AJ Finch,AT Carey,2019
World_Cup,47,England,EJG Morgan,JC Buttler,2019
World_Cup,48,New Zealand,KS Williamson,TWM Latham,2019
World_Cup,48,England,EJG Morgan,JC Buttler,2019
BAN_SL,1,Sri Lanka,FDM Karunaratne,MDKJ Perera,2019
BAN_SL,1,Bangladesh,Tamim Iqbal,Mushfiqur Rahim,2019
BAN_SL,2,Bangladesh,Tamim Iqbal,Anamul Haque,2019
BAN_SL,2,Sri Lanka,FDM Karunaratne,MDKJ Perera,2019
BAN_SL,3,Sri Lanka,FDM Karunaratne,MDKJ Perera,2019
BAN_SL,3,Bangladesh,Tamim Iqbal,Mushfiqur Rahim,2019
IND_WI,1,West Indies,JO Holder,N Pooran,2019
IND_WI,1,India,V Kohli,RR Pant,2019
IND_WI,2,India,V Kohli,RR Pant,2019
IND_WI,2,West Indies,JO Holder,SD Hope,2019
IND_WI,3,West Indies,JO Holder,SD Hope,2019
IND_WI,3,India,V Kohli,RR Pant,2019
SL_PAK,1,Pakistan,Sarfraz Ahmed,Sarfraz Ahmed,2019-20
SL_PAK,1,Sri Lanka,HDRL Thirimanne,S Samarawickrama,2019-20
SL_PAK,2,Sri Lanka,HDRL Thirimanne,M Bhanuka,2019-20
SL_PAK,2,Pakistan,Sarfraz Ahmed,Sarfraz Ahmed,2019-20
AFG_WI,1,Afghanistan,Rashid Khan,Ikram Alikhil,2019-20
AFG_WI,1,West Indies,KA Pollard,SD Hope,2019-20
AFG_WI,2,West Indies,KA Pollard,N Pooran,2019-20
AFG_WI,2,Afghanistan,Rashid Khan,Ikram Alikhil,2019-20
AFG_WI,3,Afghanistan,Rashid Khan,Ikram Alikhil,2019-20
AFG_WI,3,West Indies,KA Pollard,SD Hope,2019-20
WI_IND,1,India,V Kohli,RR Pant,2019-20
WI_IND,1,West Indies,KA Pollard,SD Hope,2019-20
WI_IND,2,India,V Kohli,RR Pant,2019-20
WI_IND,2,West Indies,KA Pollard,SD Hope,2019-20
WI_IND,3,West Indies,KA Pollard,SD Hope,2019-20
WI_IND,3,India,V Kohli,RR Pant,2019-20
IRE_WI,1,Ireland,A Balbirnie,L Tucker,2019-20
IRE_WI,1,West Indies,KA Pollard,SD Hope,2019-20
IRE_WI,2,Ireland,A Balbirnie,L Tucker,2019-20
IRE_WI,2,West Indies,KA Pollard,SD Hope,2019-20
IRE_WI,3,Ireland,A Balbirnie,L Tucker,2019-20
IRE_WI,3,West Indies,KA Pollard,SD Hope,2019-20
AUS_IND,1,India,V Kohli,KL Rahul,2019-20
AUS_IND,1,Australia,AJ Finch,AT Carey,2019-20
AUS_IND,2,India,V Kohli,KL Rahul,2019-20
AUS_IND,2,Australia,AJ Finch,AT Carey,2019-20
AUS_IND,3,Australia,AJ Finch,AT Carey,2019-20
AUS_IND,3,India,V Kohli,KL Rahul,2019-20
ENG_SA,1,England,EJG Morgan,JM Bairstow,2019-20
ENG_SA,1,South Africa,Q de Kock,Q de Kock,2019-20
ENG_SA,2,South Africa,Q de Kock,Q de Kock,2019-20
ENG_SA,2,England,EJG Morgan,JM Bairstow,2019-20
ENG_SA,3,South Africa,Q de Kock,Q de Kock,2019-20
ENG_SA,3,England,EJG Morgan,JM Bairstow,2019-20
IND_NZ,1,India,V Kohli,KL Rahul,2019-20
IND_NZ,1,New Zealand,TWM Latham,TWM Latham,2019-20
IND_NZ,2,New Zealand,TWM Latham,TWM Latham,2019-20
IND_NZ,2,India,V Kohli,KL Rahul,2019-20
IND_NZ,3,India,V Kohli,KL Rahul,2019-20
IND_NZ,3,New Zealand,KS Williamson,TWM Latham,2019-20
WI_SL,1,West Indies,KA Pollard,SD Hope,2019-20
WI_SL,1,Sri Lanka,FDM Karunaratne,MDKJ Perera,2019-20
WI_SL,2,Sri Lanka,FDM Karunaratne,MDKJ Perera,2019-20
