CBRLS Kumara;bowler;left;pace;Sri Lanka;0;22;11;0;16;29;298;259;68;37;96;21;
A Dananjaya;allrounder;left;spin;Sri Lanka;0;0;6;0;0;1;24;168;41;6;44;1;
I Udana;allrounder;right;pace;Sri Lanka;0;24;17;0;34;77;60;284;129;74;113;59;
MD Shanaka;allrounder;right;pace;Sri Lanka;0;417;87;20;309;125;69;411;19;16;124;13;
GSNFG Jayasuriya;allrounder;left;spin;Sri Lanka;0;65;8;4;39;7;17;29;12;37;31;12;
PWH de Silva;allrounder;right;spin;Sri Lanka;0;153;69;27;226;231;101;1201;191;13;461;62;
CAK Rajitha;bowler;right;pace;Sri Lanka;0;16;21;0;70;11;390;182;151;63;65;42;
BMAJ Mendis;allrounder;left;spin;Sri Lanka;0;17;0;0;35;0;0;58;0;0;12;0;
RAS Lakmal;bowler;right;pace;Sri Lanka;0;1;2;0;19;12;40;50;13;35;11;8;
TAM Siriwardana;allrounder;left;spin;Sri Lanka;0;0;0;0;5;0;0;12;0;0;0;0;
JDF Vandersay;bowler;right;spin;Sri Lanka;0;16;3;0;12;15;5;206;25;1;160;18;
MD Gunathilaka;allrounder;left;spin;Sri Lanka;60;146;8;230;110;5;2;38;0;4;64;0;
S Samarawickrama;batter;right;;Sri Lanka;0;117;13;52;92;17;0;0;0;0;0;0;
BOP Fernando;batter;right;spin;Sri Lanka;7;1;0;16;19;0;0;0;0;0;0;0;
AK Perera;allrounder;right;spin;Sri Lanka;0;14;0;0;11;0;0;0;0;0;0;0;
M Bhanuka;batter;left;;Sri Lanka;18;48;5;100;28;0;0;0;0;0;0;0;
PADLR Sandakan;bowler;right;spin;Sri Lanka;0;3;0;0;4;49;1;320;34;11;232;9;
P Nissanka;batter;right;;Sri Lanka;111;457;11;631;311;14;0;0;0;0;0;0;
LD Chandimal;batter;right;spin;Sri Lanka;16;183;11;31;84;17;0;0;0;0;0;0;
KNA Bandara;batter;right;spin;Sri Lanka;0;130;29;0;38;20;0;0;3;0;0;3;
PHKD Mendis;allrounder;left;spin;Sri Lanka;10;99;0;28;42;0;0;22;0;6;40;0;
PVD Chameera;bowler;right;pace;Sri Lanka;0;47;51;0;31;77;336;199;122;144;121;54;
AM Fernando;bowler;right;pace;Sri Lanka;0;4;1;0;0;1;43;81;24;5;16;2;
PBB Rajapaksa;batter;left;pace;Sri Lanka;17;43;0;5;22;0;0;0;0;0;0;0;
KIC Asalanka;allrounder;left;spin;Sri Lanka;3;585;86;93;340;111;0;18;0;0;68;0;
C Karunaratne;allrounder;right;pace;Sri Lanka;0;159;58;4;216;124;112;338;93;14;159;41;
RTM Mendis;allrounder;right;spin;Sri Lanka;0;11;6;0;9;24;0;53;0;0;24;0;
P Jayawickrama;bowler;right;spin;Sri Lanka;0;0;1;0;0;11;48;149;0;0;4;0;
M Theekshana;bowler;right;spin;Sri Lanka;0;19;47;0;25;91;256;430;47;86;285;20;
N Dickwella;batter;left;;Sri Lanka;9;0;4;21;2;3;0;0;0;0;0;0;
B Fernando;bowler;right;pace;Sri Lanka;0;6;0;0;15;16;53;66;15;11;14;0;
D Lakshan;allrounder;left;pace;Sri Lanka;0;5;0;0;8;0;13;42;7;0;6;0;
